eb238b61-fa9f-48c9-a634-ab5c7cd3e6ee,"Hair & Beauty",beauty,category,"2017-02-03 02:25:51","2017-02-03 02:25:51"
799fcaea-8eac-4f94-a4a0-94d774b7dd83,"Fashion & Lifestyle",fashion,category,"2017-02-03 02:25:51","2017-02-03 02:25:51"
067e8a70-b579-4a89-8ad7-ab6400299d47,Fitness,fitness,category,"2017-02-03 02:25:51","2017-02-03 02:25:51"
b55d79d9-e021-4207-b4ba-2977504de18b,Foodie,foodie,category,"2017-02-03 02:25:51","2017-02-03 02:25:51"
35ec2c31-4be1-49b5-99ea-6e2519d8e3b8,"Health & Wellbeing",health,category,"2017-02-03 02:25:51","2017-02-03 02:25:51"
526f45de-8c65-48db-bdbb-92976893d9b0,Artistic,photography,category,"2017-02-03 02:25:51","2017-02-03 02:25:51"
c1043589-f23b-450f-b570-ed2d69b29e93,Travel,travel,category,"2017-02-03 02:25:51","2017-02-03 02:25:51"
a7d41c25-0452-47eb-b400-7237b2ff2c6d,Photo,photo,format,"2017-02-03 02:25:51","2017-02-03 02:25:51"
dda25cf1-107a-4ab3-8e58-b4fd44e6633d,Athleisure,athleisure,narrative,"2016-12-09 01:05:35","2017-02-06 02:10:29"
3f00f5b8-8047-481a-b459-73a94147df48,"Cheap Fashion",cheap_fashion,narrative,"2017-03-28 02:03:45","2017-03-28 02:03:45"
e3fae870-81b8-486e-a4af-3cb8ea831491,Fashionista,fashionista,narrative,"2016-12-09 01:05:55","2017-02-06 02:10:43"
9d875b41-46d4-47f4-8b6e-b945219d30b5,Flashy,flashy,narrative,"2016-12-09 01:05:51","2017-02-06 02:10:57"
7aed98f2-a3b6-48cf-a3b0-10fbd09ed5ae,Hipster,hipster,narrative,"2016-12-09 01:05:46","2017-02-06 02:11:09"
a5c3a87c-7951-4736-b850-1c67892f9dbc,"Luxury Fashion",luxury,narrative,"2016-12-09 01:05:59","2017-03-28 02:21:43"
d9302871-66cf-4e39-8e85-3111dc5c6b74,"Mid Price Fashion",mid_price_fashion,narrative,"2017-03-28 02:03:48","2017-03-28 02:03:48"
a4080ff7-a8c8-4af1-95f0-3d79ae519ff9,Blog,blog,social_network,"2017-02-03 02:25:51","2017-02-03 02:25:51"
d946afad-0ecb-4e9a-a150-0aa83ab7bb6f,Facebook,facebook,social_network,"2017-02-03 02:25:51","2017-02-03 02:25:51"
18d4e18f-a4e4-4bc2-a955-ae98c4403373,Instagram,instagram,social_network,"2017-02-03 02:25:51","2017-02-03 02:25:51"
48548ce0-fbe7-4f60-a4d3-03ba0d5c5a71,Pinterest,pinterest,social_network,"2017-02-03 02:25:51","2017-02-03 02:25:51"
f7578d96-8e75-48e2-bb7d-71cd28862f21,Snapchat,snapchat,social_network,"2017-02-03 02:25:51","2017-02-03 02:25:51"
f111dc23-19f5-4b27-b679-9c40fb420d25,Twitter,twitter,social_network,"2017-02-03 02:25:51","2017-02-03 02:25:51"
52cede06-6571-45f5-88ac-1c9f85ca646e,Flatlay,flatlay,style,"2016-12-09 01:05:23","2017-02-06 02:12:08"
0e9d7e32-e576-42d4-a303-490484eb6140,Landscapes,landscapes,style,"2016-12-09 01:03:28","2017-02-06 02:12:13"
d91027e0-0821-4a9a-bdfc-1241ca891e26,"Product in use",product_in_use,style,"2016-12-09 01:05:19","2017-02-06 02:12:25"
a9278a89-496c-4c63-8877-6dcf2783ffad,Selfies,selfies,style,"2016-12-09 01:05:02","2017-02-06 02:12:30"